"ProductID";"PartNumber";"Description"
407;"hx6t17";"6"" blue chrys, shell of shells"
408;"hx6t18";"6"" purple coconut crossette"
409;"hx6t19";"6"" red coconut crossette"
410;"hx6t20";"6"" green chrys w/coconut pistil"
411;"hx6t21";"6"" crackling coconut to purple small flowers"
412;"hx6t22";"6"" horse tail, shell of shells"
413;"hx6t23";"6"" blue peony w/flower crown pistil w/brocade trunk tail"
414;"hx6t30";"6"" silver strobe shell of shells"
415;"hx6t31";"6"" red small flowers shell of shells"
416;"hx6t32";"6"" blue small flowers shell of shells"
417;"hx6t33";"6"" multicolor small flowers shell of shells"
418;"hx8t10";"8"" sunglow ("
419;"hx8t11";"8"" dream ghost ("
420;"hxb10004";"ck fan 100s silver world (24s)"
421;"hxb11001";"ck fan 110s white strobe waterfall (22s)"
422;"hxb13001";"ck z 130s snow dance & red plum(red & sil gltr waterfalls-23s)"
423;"hxb15001";"ck fan 150s garden in the air (22s)"
424;"hxb18201";"ck z 182s purple & lemon crossettes (20s)"
425;"hxb8001";"ck fan 80s icing on the cake (24s)"
426;"hxckt01";"ck fan 100s deep red w/white glitter (24s)"
427;"hxnck01";"ck S 182s red,grn,lem,pur stars w/crossettes (22s)"
428;"hxnck03";"ck fan 100s white glittering & blue mines, red tiger tls (26s)"
429;"hxnck04";"ck fan 100s red & time rain mines (25s)"
430;"hxnck05";"ck fan 100s bl mines to bl stars w/time rain coco, sil fish(28s)"
431;"hxnck06";"ck fan 90s red mines & silver whirls (26s)"
432;"js3chn10";"3"" chain 10 ti salutes w/big silver tail (""silver flowers"")"
433;"js3chn13";"3"" chain 10 red, white, blue peonies & salutes w/big silver tail"
434;"js3chn15";"3"" chain 10 rainbow peonies w/big silver tails"
435;"js3chn2";"3"" chain 10 multicolor to crackling w/big brocade tail"
436;"js3chn3";"3"" chain 10 brcd crwn w/magenta pist & mag pe (5&5) w/big brcd tl"
437;"js3chn6";"3"" chain 10 brocade crown waterfallsl w/big brocade tail"
438;"js3chn8";"3"" chain 10 brocade crown w/red strobe pistil w/big brocade tail"
439;"js3chn9";"3"" chain 10 silver crown w/green strobe pistil w/big silver tails"
440;"js3Ngb";"3"" salute, dark - ground bomb, NO delay, no lift, short fuse"
441;"js3t01/hq3p03";"3"" salute dark, extra loud (no ti, no tail)"
442;"js3t02/hq3p02";"3"" salute ti, extra loud"
443;"js4n01";"4"" flower crown chrys to red"
444;"js4n02";"4"" purple strobe peony w/white strobe pistil"
445;"js4n04";"4"" goldwave ring w/red pistil"
446;"js4n06";"4"" red lantern"
447;"js4ngb";"4"" salute, ground bomb, dark (no ti), no delay, no lift"
448;"js5n01";"5"" purple strobe"
449;"js5n02";"5"" red gamboge to purple chrys w/blue pistil"
450;"js5n03";"5"" blue peony w/brocade chrys to green pistil"
451;"js5n04";"5"" green peony w/big red pistil"
452;"js6n01";"6"" blue chrys to brocade crown ring"
453;"js6n03";"6"" red peony w/big green pistil"
454;"js6n04";"6"" white peony w/big red pistil"
455;"js6n05";"6"" red gamboge to purple w/big blue pistil"
456;"js6n06";"6"" goldwave to green w/big white pistil"
457;"js6n08";"6"" chrys to blue w/big red pistil"
458;"jsckm01";"ck Z 150s American Thunder (ti slautes w/rwb tails) (57s)"
459;"jsckm02";"ck 100s American Thunder (1.5"" ti slautes w/rwb tails -fast) (22s)"
460;"jsckn01";"ck 2"" 36s alternate brocade crown & ti salutes 59 sec"
461;"jsckn02";"ck fan 100s blue mines & red tail to ti salutes fast finale-13 sec"
462;"jsckn03";"ck fan 280s red mines, ti salutes & silver whistles fast finale 9sec"
463;"jsm01";"cndl 2"" 1-shot silver strobe mine"
464;"jsm07-q";"ck X 130s lucky 2011(rd & grn tls to rd & grn strb falling leaves - 12sec)"
465;"jsm501";"5"" the magic ball (silver crackling strobe)"
466;"jsm604";"6"" gold silk chrys w/3 large brcd tails"
467;"jx3c22";"3"" comet gold glittering"
468;"jx3gb";"3"" salute, dark-ground bomb w/3sec delay, no lift, short fuse"
469;"jx4fwgcm";"4"" mine fower wave + green crossette"
470;"ld215";"ck 48s water - bombettes (22 sec)"
471;"ld25asrta";"2.5"" assortment A 24 types 4 ea (incl. 20 mc tiger tails) w/tails"
472;"ld25asrtb";"2.5"" assortment B 96 types 1 each w/tails"
473;"ld25asrtc";"2.5"" assortment C 60 types 1 each + 36 salutes w/tails"
474;"ld25k01";"2.5"" comet crackling"
475;"ld25k02";"2.5"" comet silver"
476;"ld25k03";"2.5"" comet gold glittering (gold brocade)"
477;"ld25k04";"2.5"" comet white glitter"
478;"ld27a";"wheel moving sparkling color wheel 70cm"
479;"ld2asrt";"2"" assortment A&B Lidu 1 ea of 144 w/tails"
480;"ld300";"3"" chain of 8 ti salutes w/big silver tails"
481;"ld3001";"3"" dragon eggs w/tail"
482;"ld3005";"3"" white ring"
483;"ld3007a";"3"" silver chrys"
484;"ld3017";"3"" mine thundering tourbillion cylinder"
485;"ld3037";"3"" silver diadem"
486;"ld3044";"3"" white flashing dahlia"
487;"ld3049";"3"" gold flashing willow w/brocade tail"
488;"ld3054a";"3"" silver spider"
489;"ld3081";"3"" mine gold crackling"
490;"ld30grn";"3"" mine green strobe"
491;"ld3102";"3"" yellow golden big willow"
492;"ld3145";"3"" white diadem w/tail"
493;"ld3c01a";"3"" comet white glittering"
494;"ld3f-z1";"3"" chain of 12 asrtd color shells w/tails"
495;"ld3k01";"3"" comet crackling"
496;"ld42221";"4"" silver peony w/crackling pistil w/tail"
497;"ld42222";"4"" golden peony w/crackling pistil w/gold tail"
498;"ld49041b";"4"" chain of 6, RWB peonies w/large comet tails"
499;"ld49041c";"4"" chain of 4, assorted color peonies"
500;"ld50013";"5"" mine thundering turbillioin"
501;"ld5002";"5"" mine glittering kamuro"
502;"ld52037";"5"" silver diadem"
503;"ld53029";"5"" blue tracer w/silver tail"
504;"ld53036";"5"" silver bees w/silver tail"
505;"ld54008";"5"" crackling scatter w/gold tail"
506;"ld54072";"5"" red & green scattering w/coco pistil"
507;"ld56007";"5"" brocade crown w/gold tail"
508;"ld57030";"5"" three cross rings"
509;"ld57042";"5"" bowtie ring w/tail"
510;"ld57046";"5"" smile face"
511;"ld57139";"5"" gold bowtie w/blue ring"
512;"ld58013";"5"" silver willow w/comet"
513;"ld58032";"5"" gold flash w/8 pieces chrys w/tail"
514;"ld58041";"5"" silver whirl w/purple ring w/tail"
515;"ld58161";"5"" red & green whirl flower"
516;"ld5asrtcfi";"5"" assortment lidu (18 shells) various fancy shells"
517;"ld6001";"6"" crackling willow to red cylinder"
518;"ld6054";"6"" silver spider"
519;"ld6072";"6"" red & green scattering w/coco pistil"
520;"ld6110";"6"" white flashing big willow"
521;"ld6150";"6"" silver hearts"
522;"ld6160";"6"" silver bees w/8 flower pistil"
523;"ld65048";"6"" white strobe lantern"
524;"ld6asrtcfi";"6"" assortment lidu 1 ea 9 types"
525;"ld8149";"8"" pattern silver crackling stars"
526;"ld8asrt";"8"" assorted peonies w/tail"
527;"lda154";"ck fan 45s red, white, blue tails (15 sec)"
528;"lda172";"ck Z 80s silver crown horse tail w/red tails (25 sec)"
529;"lda181";"ck Z 100s silver to red w/tail (30 sec)"
530;"lda189";"ck V 150s silver crown to red and green (30s)"
531;"lda191";"ck Z 80s brocade crown w/gold tails (25 sec)"
532;"lda192";"ck fan 80s silver lions to color crackling chrys (30 sec)"
533;"lda224";"ck fan 150s peacock exercise w/color tails & blue mines (21s)"
534;"lda242-110";"ck R 110s brocade crown tails (22s)"
535;"lda276-110";"ck R 110s gold strobing tails (22s)"
536;"ldc-mix1a";"ck 19s red chrys w/tail (25 sec)"
537;"ldc-mix1b";"ck 19s silver coconut tree (25 sec)"
538;"ldc-mix1c";"ck 19s color scattering (25 sec)"
539;"ldc-mix1d";"ck 19s big willow(25 sec)"
540;"ldc-mix2a";"ck z 6x8s sea blue crossettes (25 sec)"
541;"ldc-mix2b";"ck z 6x8s color tails (25 sec)"
542;"ldc-mix2c";"ck fan 9x5s red, white & blue tails (25 sec)"
543;"ldc-mix2d";"ck fan 8x3s blue crackling stars (25 sec)"
544;"ldc-mix3b";"ck 25s red plum (25 sec)"
545;"ldc-mix3c";"ck 25s happy stars (crackling) (25 sec)"
546;"ldc-mix4b";"ck 25s thunder rain (30 sec)"
547;"ldc-mix4c";"ck 25s blue chrys w/coco pistil & report (30 sec)"
548;"ldc-mix4d";"ck 25s color chrys w/whitles (30 sec)"
549;"ldc001";"fntn 1.5"" single white chrys"
550;"ldc005";"fntn 1.5"" smokless silver fountain"
551;"ldc007";"fntn 1.5"" smokless gold fountain"
552;"ldc008";"fntn 2"" big gold fountain"
553;"ldc010";"fntn 2"" big silver fountain"
554;"ldc014";"fntn 3"" big white crackling fountain"
555;"ldc016";"fntn 1"" single low smoke silvr"
556;"ldc029";"cndl 1.5"" 1-shot big crackling tail crossette"
557;"ldc036";"wheel moving color wheel 60cm"
558;"ldc039-1";"wheel moving new big wheel 50cm"
559;"ldc066";"cndl 1.5"" 1-shot big brocade crown crossette"
560;"ldc106-100";"ck 100s white glittering stars (30 sec)"
561;"ldc129-100";"ck 100s silver crossettes (30 sec)"
562;"ldc203-100";"ck 100s brocade crowns (30 sec)"
563;"ldc209-100";"ck 100s golden willows w/golden tails (30 sec)"
564;"ldc273-49";"ck 49s asrtd xst, pe w/sal, sil whirl, pe w/coco pist (40s)"
565;"ldc278-49";"ck 49s asrtd brcd grn pe, xst, sil comet mines (40s)"
566;"ldc290";"ck 142s assorted stars (34 sec)"
567;"ldw600";"waterfall sticks, chain of 10, 80"" long, smkless, silver, 60 sec, 30 ft drop"
568;"ldz7609";"cndl 3"" 6-shot silver whistle mine & gold chrys (20s)"
569;"lrbl";"lance ROPE blue, per foot, 2.3 lance/ft, 5.2"" c-c spacing"
570;"lrgr";"lance ROPE green, per foot, 2.3 lance/ft, 5.2"" c-c spacing"
571;"lrpl";"lance ROPE purple, per foot, 2.3 lance/ft, 5.2"" c-c spacing"
572;"lrrd";"lance ROPE red, per foot, 2.3 lance/ft, 5.2"" c-c spacing"
573;"lryl";"lance ROPE yellow, per foot, 2.3 lance/ft, 5.2"" c-c spacing"
574;"ls4430";"4"" comet brocade (gold glittering)"
575;"ls4501";"4"" comet crackling"
576;"ls4600";"4"" comet white strobe"
577;"ls5430";"5"" comet brocade (gold glittering)"
578;"ls5501";"5"" comet crackling"
579;"ls5600";"5"" comet white strobe"
580;"ls5605";"5"" comet silver"
581;"mt1r02";"ck fan 13s 1-row  golden wave w/green glitter bouquet"
582;"mt1r03";"ck fan 13s 1-row  green wave w/crackling bouquet"
583;"mtnck01";"ck 25s thunder king w/red, white, blue tails (26s)"
584;"mtnck02";"ck 49s green glittering tail to green glittering coconut (22s)"
585;"mtnck03";"ck 49s fresh red w/blue mines to silver glittering (21s)"
586;"mtnck04";"ck fan 49s titanium chrys w/red & green pistil (24s)"
587;"mtnck05";"ck 100s blue tail w/red mines to chrys willow (32s)"
588;"mtnck06";"ck W 100s crcklng chrys L&R; blue peony middle   (30s)"
589;"mtnck07";"ck fan 100s silver silk w/multicolor glittering   (36s)"
590;"mtnck08";"ck Z,W,S,fan 100s assorted effects    (33s)"
591;"mtnck09";"ck Z+I 125s golden & blue world  (19s)"
592;"ny21";"ck 100s silver dragon tail to green dahlias & silver strobe (40 sec)"
593;"ny23-q";"ck Z 100s dragon in flowers  20sec"
594;"ny26";"ck 2"" 49s ti salutes w/multicolor flower tails (55 sec)"
595;"ny27";"ck 2"" 49s multicolor crcklng palm w/gold strobe pist w/gold tails-27s"
596;"ny28";"ck 2"" 49s new color (mag/grn/aqua/lem) peonies w/sil coco pist w/sil tl-30s"
597;"ny29";"ck 2"" 49s gold glittering willow w/big blue pistil w/gold gltr tails-35 sec"
598;"ny30";"ck 2.5"" 36s alternate grn strb & gld gltr / brcd crwn w/grn strb pist w/tls-30s"
599;"ny31";"ck 2.5"" 36s time rain palm tree w/red strobe pistil w/crackling tails-30s"
600;"ny32-q";"ck 36s water cake - corolla (gold brocade) mines - 8 sec"
601;"ny33";"ck 36s water cake - color flower ball (crckl) to color flower ball (crckl)-10s"
602;"ny34";"ck fan 13s 1-row purple wave comets & white strobe mines"
603;"ny35";"ck fan 13s 1-row  silver comets & silver strobe mines"
604;"ny36";"ck fan 13s 1-row  green wave comets & silver strobe mines"
605;"ny38";"ck Z 13s 1-row wipe - green wave comets (5s)"
606;"ny39";"ck Z 13s 1-row wipe - silver comets (5s)"
607;"ny40";"ck Z 13s 1-row wipe - brocade crown comets (5s)"
608;"ny41";"ck Z 13s 1-row wipe - gold glittering mines (5s)"
609;"ny6415-1q";"ck fan 372s brocade crown & blue stars (30 sec)"
610;"ny6415-2q";"ck fan 372s peachblow (magenta), lemon & sea blue stars(25 sec)"
611;"ny6420-2";"ck fan 120s grn mn to grn strb&pnk dahl;sil strb&pnk pe;crklng;rd&lem xst-24s"
612;"ny6430-1";"ck fan 49s red, white & blue peonies - 22sec"
613;"ny6430-14";"ck fan 65s silver whirlpool tail to lemon & peachblow (mgnta) peonies-18s"
614;"ny6430-28";"ck 100s super brocade crown w/red strobe pistill (40 sec)"
615;"ny6430-3";"ck fan 49s 3-stage whistles - 20sec"
616;"ny6430-5s";"ck fan 49s colorful crossettes (red/green/lemon/silver) to ti salutes-20s"
617;"pw404";"4"" mine green glitter"
618;"qm-50m";"quickmatch fuse - 50 meter roll"
619;"rack-175-hdpe";"mortar rack, 1.75"" w/14 black hdpe tubes, 4 ft wide"
620;"rack-25-hdpe";"mortar rack, 2.5"" w/10 black hdpe tubes, 4 ft wide"
621;"rack-3-hdpe";"mortar rack, 3"" w/10 black hdpe tubes, 4 ft wide"
622;"rack-4-hdpe";"mortar rack, 4"" w/8 black hdpe tubes, 4 ft wide"
623;"rack-5-hdpe";"mortar rack, 5"" w/6 black hdpe tubes, 4 ft wide"
624;"rack-6-hdpe";"mortar rack, 6"" w/5 black hdpe tubes, 4 ft wide"
625;"rgspcl";"wheel moving ruggeri silver mag wheel, 60cm"
626;"rz504";"5"" gold flitter comets & other rozzi shells"
627;"sm401";"4"" multicolor cycas tree w/big tails"
628;"sm402";"4"" crackling brocade crown"
629;"sm403";"4"" brocade crown"
630;"sm501";"5"" cube pattern (red & green)"
631;"sm504";"5"" colorful dahlia (multicolor dahlia)"
632;"sm505";"5"" green strobe peony (special strobe)"
633;"sm508";"5"" brocade crown"
634;"sm509";"5"" crackling brocade crown"
635;"sm601";"6"" brocade to purple peony w/big purple pistil"
636;"sm602";"6"" blood red to white peony w/big blue pistil"
637;"sm603";"6"" brocade to cloud grass (crackling) w/big blood-red pistil"
638;"sm604";"6"" brocade crown to white strobe w/big special grn strb pist w/big tails"
639;"sm605";"6"" brocade crown"
640;"sm606";"6"" crackling brocade crown"
641;"sm801";"8"" brocade crown w/big special green strobe pistil"
642;"sm802";"8"" brocade crown w/big blood-red pistil"
643;"sm803";"8"" crackling brocade crown"
644;"sm804";"8"" brocade crown"
645;"sn10assrt";"10"" assorted Sunny 10"" shells"
646;"sn3230";"3"" comet, red palm tiger tail"
647;"sn3421";"3"" mine twinkling kamuro"
648;"sn3422";"3"" gold wave to silver chrys"
649;"sn39327";"3"" dahlia cylinder"
650;"sn4asrt";"4"" assortment sunny brand fancy shells 2 ea of 18 types"
651;"sn8002";"8"" four color change peony"
652;"sn8016";"8"" silver spider w/strobe pistil & silver"
653;"sn8017";"8"" gold spider w/strobe pistil"
654;"sn82012";"8"" crossette gold glitter"
655;"sn82702";"8"" crossette golden"
656;"sn82712";"8"" red palm crossette"
657;"sn88035";"8"" bowtie flower w/palm pistil"
658;"sn88038";"8"" silver brocade dragon"
659;"sn89086a";"8"" gold brocade kamuro to green w/green strobe pist"
660;"sn89111";"8"" gold brocade waterfall"
661;"sn89145";"8"" small red coconut"
662;"sn89263";"8"" gold popping brocade kamuro w/crcklng flwr pist"
663;"sngf01";"fntn 13"" cone silver w/red to blue tip, low-smoke, 20ft (fuseless)"
664;"snr120";"cndl 1.5"" 8-shot silver tail (24s)"
665;"snr122s";"cndl 1.2"" 8-shot silver tail (24s)"
666;"sr0930-02";"ck fan 9s 1-row  purple mine to gold coconut to purple"
667;"sr0930-03";"ck fan 9s 1-row  blue mine to silver coconut to blue"
668;"sr0930-04";"ck fan 9s 1-row  brocade crown to purple"
669;"sr0930-05";"ck fan 9s 1-row  white strobe mine to white strobe"
670;"st5001";"5"" santai flourish thunder"
671;"th02";"cndl 1.75"" 1-shot yellow glittering tail w/big green mine"
672;"th05";"cndl 1.75"" 1-shot lemon comet w/big magenta (peachblow) mine"
673;"th07";"cndl 1.75"" 1-shot gold wave tail"
674;"th08";"cndl 2"" 1-shot yellow strobe to blue mine"
675;"th10";"cndl 1.75"" 1-shot red & green peony break"
676;"th11";"cndl 2"" 1-shot white strobe mine to red meteors"
677;"th12";"cndl 2"" 1-shot red strobe and gold wave mine"
678;"th15-100";"ck 100s seablue & orange crossettes w/aqua & org tails (30s)"
679;"th16-100-q";"ck fan 100s red wave tail to white strobe, blue mines (27s)"
680;"th17-100-q";"ck fan 100s 5-way - gold wave to red mine (25s)"
681;"th18-80";"ck V 80s red tail to wave willow w/green strobe pistil (25s)"
682;"th19-90";"ck W 90s red, green & yellow peonies w/dragon eggs (29s)"
683;"th20-130";"ck Z 130s multicolor mines (peacock tail) (31s)"
684;"th21-100";"ck fan 100s peachblow (mag) & lemon crossettes w/tails to salutes (30s)"
685;"th22-130";"ck fan 130s three layer mines - wht gltr, red, blue (26s)"
686;"th25-100";"ck 100s new color crossettes (mag, lem, aqua, orange) (41s)"
687;"th26-120";"ck Z 120s rainbow comets (mag, lem, aqua, orange) (28s)"
688;"th27-100";"ck Z 100s peachblow crossettes alternate wave willow w/peach pist (30s)"
689;"th31-100";"ck 100s white glittering willow w/big red strobe pistil (41s)"
690;"thnck01";"ck fan 100s 5-branch brcd rainbow (brcd crwn & pastel clr mines)28s"
691;"thnck02";"ck fan 110s gold glittering tail to blue & red mines 18sec"
692;"thnck03";"ck Z 130s green glitter, yellow glitter, blue mines 12sec"
693;"thnck04";"ck Z 150s multicolor & white glittering stars 19sec"
694;"thnck05";"ck fan 280s silver tail to whistle to green stars 20sec"
695;"thnck06";"ck fan 280s 3 times whistles to salutes 18sec"
696;"thtck01-q";"ck 100s colorful white glitter pitil wheat - 24s"
697;"thtck02";"ck V 80s time rain crossettes - 26s"
698;"thtck03-q";"ck Z 100s blue pistil red glitter willow horsetail - 17s"
699;"thtck04-q";"ck fan 280s 7-branch red glitter pistil wave tl & blue tl - 10s"
700;"tube-10-hdpe";"mortar tube, 10"", black hdpe, 60"" long"
701;"tube-25-hdpe";"mortar tube, 2.5"", black hdpe, 16 1/2"" long"
702;"tube-3-hdpe";"mortar tube, 3"", black hdpe, 19 1/2"" long"
703;"tube-4-hdpe";"mortar tube, 4"", black hdpe, 23.6"" long"
704;"tube-5-hdpe";"mortar tube, 5"", black hdpe, 30"" long"
705;"tube-6-fg";"mortar tube, 6"", blue fiberglass, 35.4"" long"
706;"tube-6-hdpe";"mortar tube, 6"", black hdpe, 35.4"" long"
707;"tube-8-hdpe";"mortar tube, 8"", black hdpe, 43.3"" long"
708;"wh-lc-bl";"lance blue 10mm o.d. 60 sec"
709;"wh-lc-gld";"lance gold 10mm o.d. 60 sec"
710;"wh-lc-grn";"lance green 10mm o.d. 60 sec"
711;"wh-lc-pur";"lance purple 10mm o.d. 60 sec"
712;"wh-lc-rd";"lance red 10mm o.d. 60 sec"
713;"wh-lc-sil";"lance silver 10mm o.d. 60 sec"
714;"wh-lc-wht";"lance white 10mm o.d. 60 sec"
715;"wh-lc-yo";"lance yellow/orange 10mm o.d. 60 sec"
716;"wh01";"cndl 2"" 1-shot white glitter tail"
717;"wh02";"cndl 2"" 1-shot red wave tail w/large red strobing mine"
718;"wh03";"cndl 2"" 1-shot mine, silver strobe willow"
719;"wh05";"cndl 2"" 1-shot silver tiger tail"
720;"wh07";"cndl 2"" 1-shot blood red stars mine"
721;"wh08";"cndl 2"" 1-shot brocade crown mine"
722;"wh09";"cndl 2"" 1-shot multicolor mine"
723;"wh10";"cndl 2"" 1-shot brocade crown to blue mine"
724;"wh11-q";"cndl 1.75"" 8-shot silver tail to green crossette (27s)"
725;"wh12-q";"cndl 1.75"" 8-shot silver tail to red crossette (27s)"
726;"wh13-q";"cndl 1.75"" 8-shot flashing willow tail to blue crossette (27s)"
727;"wh14-q";"cndl 1.75"" 8-shot flashing willow tail to red crossette (27s)"
728;"wh17-q";"cndl 1.75"" 8-shot silver tail (27s)"
729;"wh1rt01";"ck fan 9s 1- row silver strobe mines"
730;"wh1rt02";"ck fan 9s 1- row red mines"
731;"wh1rt03";"ck fan 9s 1- row green mines"
732;"wh1rt04";"ck fan 9s 1- row blue mines"
733;"wh1rt05";"ck fan 9s 1- row golden strobe mines"
734;"wh1rt06";"ck fan 9s 1- row butterfly to blue peony"
735;"wh1rt07";"ck fan 9s 1- row orange tail to orange peony w/orange mine"
736;"wh1rt08";"ck fan 9s 1- row lemon tail to lemon peony w/lemon mine"
737;"wh1rt09";"ck fan 9s 1- row seablue tail to seablue peony w/seablue mine"
738;"wh1rt10";"ck C 9s 1- row (wipe M-to-L&R) red strb tail w/green strb mine"
739;"wh1rt11";"ck C 9s 1- row (wipe M-to-L&R) silver comet w/magenta mine"
740;"wh1rt12";"ck C 9s 1- row (wipe M-to-L&R) gold comet w/blue mine"
741;"wh1s01";"cndl 2"" 1-shot orange comet (star) w/large aqua stars mine"
742;"wh1s02";"cndl 2"" 1-shot green comet (star) w/large lemon stars mine"
743;"wh1s03";"cndl 2"" 1-shot red comet (star) w/large silver glitter stars mine"
744;"wh1s04";"cndl 2"" 1-shot peach (magenta) comet (star) w/large wht gltr stars mine"
745;"wh1s05";"cndl 2"" 1-shot mine, white stars"
746;"wh1s06";"cndl 2"" 1-shot mine, blue stars"
747;"wh1s07";"cndl 2"" 1-shot mine, mixed orange & aqua stars"
748;"wh1s08";"cndl 2"" 1-shot mine, mixed lemon & green stars"
749;"wh1s09";"cndl 2"" 1-shot mine, red strobe stars"
750;"wh1s10";"cndl 2"" 1-shot mine, white strobe stars"
751;"wh1s11";"cndl 2"" 1-shot mine, fresh color (magenta, lemon, org, aqua) stars"
752;"wh1s12";"cndl 2"" 1-shot red tiger tail"
753;"wh1s13";"cndl 2"" 1-shot green tiger tail"
754;"wh1s14";"cndl 2"" 1-shot yellow tiger tail"
755;"wh1s15";"cndl 2"" 1-shot orange tiger tail"
756;"wh1s17";"cndl 2"" 1-shot silver strobe tiger tail"
757;"wh1s18";"cndl 2"" 1-shot red strobe tiger tail"
758;"wh1s19";"cndl 2"" 1-shot green strobe tiger tail"
759;"wh1s20";"cndl 2"" 1-shot titanium crackling tail"
760;"wh1s21";"cndl 2"" 1-shot whistles w/red mine"
761;"wh1s22";"cndl 2"" 1-shot gold strobe tail"
762;"wh1sp01";"cndl 1.2"" 1-shot red tail"
763;"wh1sp02";"cndl 1.2"" 1-shot red strobe tail"
764;"wh1sp03";"cndl 1.2"" 1-shot silver tail"
765;"wh1sp04";"cndl 1.2"" 1-shot gold strobe tail"
766;"wh1sp05";"cndl 1.2"" 1-shot titantium crackling tail"
767;"wh1sp06";"cndl 1.2"" 1-shot mine blood red stars"
768;"wh1sp07";"cndl 1.2"" 1-shot mine crackling stars"
769;"wh1sp08";"cndl 1.2"" 1-shot mine white stars"
770;"wh1sp09";"cndl 1.2"" 1-shot mine blue stars"
771;"wh24-q";"ck C 66s colorful stars (18s)"
772;"wh3n01";"3"" peach (magenta) w/6 whistles cylinder"
773;"wh3t01";"3"" salute, ti, shell of shells cylinder"
774;"wh3t02";"3"" mine, whistles"
775;"wh3t03";"3"" pink & green wave chrys"
776;"wh3t04";"3"" red strobing willow"
777;"wh4n01";"4"" blood red w/silver strobe"
778;"wh4n02";"4"" red strobe willow (wh4t05)"
779;"wh4t01";"4"" purple peony w/6 crackers & salutes"
780;"wh4t02";"4"" spinner flower ring & red crossette ring"
781;"wh4t03";"4"" brocade crown"
782;"wh4t04";"4"" brocade crown w/tail"
783;"wh4t06";"4"" silver crown"
784;"wh4t07";"4"" three red swordsmen (gold to red octagonal chrys)"
785;"wh50-100q";"ck W 100s red,grn,yel falling lvs & blue pearl w/color tails (26s)"
786;"wh52-50";"ck fan 50s silver strobe w/silver coco pistil w/silver tails (24s)"
787;"wh53-100q";"ck S 100s fresh color comets w/silver glitter mines (20s)"
788;"wh58-150";"ck fan 150s color flashing tails (30s)"
789;"wh5n01";"5"" jellyfish"
790;"wh5t01";"5"" color falling leaves"
791;"wh5t02";"5"" red strobe willow"
792;"wh5t03";"5"" three red swordsmen (gold to red octagonal chrys)"
